,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
28,017560.OF,华安上证科创板芯片联接C,华安基金,华泰证券,股票型,20221227,,,20221215,,0.0027,0.5,0.1,,1.0,0.0001,,上证科创板芯片指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
29,017439.OF,博时安悦短债C,博时基金,交通银行,债券型,20221227,,,20221205,,19.9072,0.3,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
30,017515.OF,易方达北证50成份A,易方达基金,交通银行,股票型,20221227,,,20221129,,1.3256,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
31,017519.OF,汇添富北证50成份A,汇添富基金,中国建设银行,股票型,20221227,,,20221129,,1.6515,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
32,016761.OF,嘉合锦荣A,嘉合基金,平安银行,混合型,20221227,,,20221205,,0.8119,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221228,,O
33,017516.OF,易方达北证50成份C,易方达基金,交通银行,股票型,20221227,,,20221129,,3.667,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
34,008931.OF,中加安瑞积极养老目标五年持有,中加基金,交通银行,混合型,20221227,,,20221024,,0.1473,0.9,0.15,,1.0,0.001,,沪深300指数收益率*65%+中债综合全价(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*5%+1年定期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
35,016762.OF,嘉合锦荣C,嘉合基金,平安银行,混合型,20221227,,,20221205,,1.5133,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221228,,O
36,016103.OF,申万菱信沪深300优选指数增强A,申万菱信基金,中国邮政储蓄银行,股票型,20221226,,,20220923,,0.1232,1.0,0.15,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
37,016995.OF,华泰紫金安恒平衡配置A,华泰证券资管,招商银行,混合型,20221226,,,20221214,,0.202,1.0,0.2,,1.0,0.0001,,中债国债总财富(总值)指数收益率*60%+沪深300指数收益率*15%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
38,016996.OF,华泰紫金安恒平衡配置C,华泰证券资管,招商银行,混合型,20221226,,,20221214,,0.001,1.0,0.2,,1.0,0.0001,,中债国债总财富(总值)指数收益率*60%+沪深300指数收益率*15%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
39,015547.OF,华商核心成长一年持有A,华商基金,中国银行,混合型,20221226,,,20220923,,2.7712,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*20%,L,混合型,契约型开放式,,,,O
40,016104.OF,申万菱信沪深300优选指数增强C,申万菱信基金,中国邮政储蓄银行,股票型,20221226,,,20220923,,0.0852,1.0,0.15,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
41,513140.OF,华泰柏瑞中证香港300金融服务ETF,华泰柏瑞基金,中国农业银行,股票型,20221226,,,20221212,,2.3037,0.5,0.1,,1.0,0.1,,中证香港300金融服务指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,,,O
42,015548.OF,华商核心成长一年持有C,华商基金,中国银行,混合型,20221226,,,20220923,,0.448,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*20%,L,混合型,契约型开放式,,,,O
43,016446.OF,财通资管现金聚财,财通证券资管,中国证券登记结算公司,货币市场型,20221226,,,20221226,,,0.4,0.05,,1.0,,,同期中国人民银行公布的七天通知存款利率(税后),L,货币型,契约型开放式,,,,O
44,017483.OF,财通资管数字经济A,财通证券资管,浦发银行,混合型,20221226,,,20221208,,0.106,1.5,0.25,,1.0,0.0001,,中证数字经济主题指数收益率*75%+中债综合指数(全价)收益率*25%,L,混合型,契约型开放式,,,,O
45,016785.OF,鹏华中证1000指数增强A,鹏华基金,招商银行,股票型,20221226,,,20221201,,1.67,0.8,0.15,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
46,017484.OF,财通资管数字经济C,财通证券资管,浦发银行,混合型,20221226,,,20221208,,0.0343,1.5,0.25,,1.0,0.0001,,中证数字经济主题指数收益率*75%+中债综合指数(全价)收益率*25%,L,混合型,契约型开放式,,,,O
47,016786.OF,鹏华中证1000指数增强C,鹏华基金,招商银行,股票型,20221226,,,20221201,,0.4146,0.8,0.15,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
48,017674.OF,东方红颐和平衡养老目标三年Y,东证资管,中国建设银行,混合型,20221224,,,,,,0.325,0.075,,1.0,,,沪深300指数收益率*50%+中国债券总指数收益率*40%+恒生指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20221227,,O
49,017675.OF,东方红颐和积极养老目标五年Y,东证资管,招商银行,混合型,20221224,,,,,,0.4,0.075,,1.0,,,沪深300指数收益率*60%+中国债券总指数收益率*20%+恒生指数收益率*15%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20221227,,O
50,017673.OF,东方红颐和稳健养老目标两年Y,东证资管,中国工商银行,混合型,20221224,,,,,,0.25,0.075,,1.0,,,中国债券总指数收益率*75%+沪深300指数收益率*18%+银行活期存款利率(税后)*5%+恒生指数收益率*2%,L,混合型,契约型开放式,,20221227,,O
51,017672.OF,兴全安泰平衡养老(FOF)Y,兴证全球基金,招商银行,混合型,20221224,,,,,,0.25,0.075,,1.0,,,中证偏股型基金指数收益率*50%+中债综合(全价)指数收益率*50%,L,混合型,契约型开放式,,,,O
52,017136.OF,长盛同业存单指数7天持有,长盛基金,中国农业银行,债券型,20221223,,,20221214,,35.6202,0.2,0.05,,1.0,0.0001,,中证同业存单AAA指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
53,017187.OF,国新国证鑫裕央企债六个月定开,国新国证基金,浦发银行,债券型,20221223,,,20221205,,7.5004,0.3,0.05,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
54,159682.SZ,创业50ETF,景顺长城基金,中国农业银行,股票型,20221223,,20230103,20221212,,71.2031,0.5,0.1,,1.0,0.1,,创业板50指数收益率,I,被动指数型,契约型开放式,,20230103,20230103,E
55,017447.OF,民生加银恒宁,民生加银基金,平安银行,债券型,20221223,,,20221205,,50.0008,0.3,0.1,,1.0,0.001,,中国债券综合指数收益率*90%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,20221227,20221227,O
56,017487.OF,万家洞见进取C,万家基金,中国农业银行,混合型,20221223,,,20221215,,0.0011,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*75%+中证全债指数收益率*25%,L,混合型,契约型开放式,,,,O
57,016268.OF,建信中证500指数量化增强C,建信基金,交通银行,股票型,20221223,,,20221121,,0.0124,1.0,0.1,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
58,017486.OF,万家洞见进取A,万家基金,中国农业银行,混合型,20221223,,,20221215,,0.1015,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*75%+中证全债指数收益率*25%,L,混合型,契约型开放式,,,,O
59,017128.OF,工银瑞信瑞嘉一年定开C,工银瑞信基金,浙商银行,债券型,20221223,,,20221128,,0.0001,0.3,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,,,O
60,016267.OF,建信中证500指数量化增强A,建信基金,交通银行,股票型,20221223,,,20221121,,0.121,1.0,0.1,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
61,017127.OF,工银瑞信瑞嘉一年定开A,工银瑞信基金,浙商银行,债券型,20221223,,,20221128,,31.0005,0.3,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,,,O
62,970207.OF,国信睿丰C,国信证券,中国工商银行,债券型,20221223,,,20221223,,,0.8,0.1,,1.0,,,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20221228,20221228,O
63,970179.OF,天风金管家,天风资管,中国证券登记结算公司,货币市场型,20221223,,,20221223,,,0.25,0.05,,1.0,,,同期人民币活期存款利率(税后),L,货币型,契约型开放式,,20221223,20221223,O
64,938666.OF,国信睿丰A,国信证券,中国工商银行,债券型,20221223,,,20221223,,,0.8,0.1,,1.0,,,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20221228,20221228,O
65,017523.OF,南方北证50成份A,南方基金,中国农业银行,股票型,20221223,,,20221129,,2.3439,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
66,017524.OF,南方北证50成份C,南方基金,中国农业银行,股票型,20221223,,,20221129,,0.4551,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
67,017183.OF,中信建投同业存单指数7天持有,中信建投基金,中信银行,债券型,20221223,,,20221128,,2.0176,0.2,0.05,,1.0,0.001,,中证同业存单AAA指数收益率*95%+银行人民币一年定期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221229,20221229,O
68,017474.OF,中信建投景荣C,中信建投基金,浙商银行,债券型,20221223,,,20221215,,0.0,0.3,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
69,017473.OF,中信建投景荣A,中信建投基金,浙商银行,债券型,20221223,,,20221215,,22.2005,0.3,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
70,017614.OF,工银瑞信瑞福纯债F,工银瑞信基金,浦发银行,债券型,20221223,,,,,,0.3,0.1,,1.0,,,中债信用债总财富指数收益率*80%+中债国开行债券总财富(1-3年)指数收益率*20%,L,债券型,契约型开放式,,20221223,20221224,O
71,159665.OF,工银瑞信国证半导体芯片ETF,工银瑞信基金,招商证券,股票型,20221222,,,20221123,,10.7758,0.45,0.07,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,,,O
72,017018.OF,农银汇理瑞泽添利C,农银汇理基金,中信银行,债券型,20221222,,,20221128,,3.218,0.6,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
73,017017.OF,农银汇理瑞泽添利A,农银汇理基金,中信银行,债券型,20221222,,,20221128,,1.5441,0.6,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
74,017518.OF,招商北证50成份C,招商基金,中信建投证券,股票型,20221222,,,20221129,,1.3737,0.8,0.15,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20230103,20230103,O
75,017517.OF,招商北证50成份A,招商基金,中信建投证券,股票型,20221222,,,20221129,,0.3227,0.8,0.15,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20230103,20230103,O
76,016881.OF,山西证券裕景30天持有A,山西证券,中国工商银行,债券型,20221221,,,20221128,,0.4163,0.2,0.05,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
77,561000.OF,华安沪深300增强策略ETF,华安基金,招商银行,股票型,20221221,,,20221201,,8.3242,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,增强指数型,契约型开放式,,,,O
78,017444.OF,嘉实30天持有中短债C,嘉实基金,中国建设银行,债券型,20221221,,,20221209,,4.2358,0.22,0.055,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*50%+中债综合财富(1年以下)指数收益率*40%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
79,017443.OF,嘉实30天持有中短债A,嘉实基金,中国建设银行,债券型,20221221,,,20221209,,0.3195,0.22,0.055,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*50%+中债综合财富(1年以下)指数收益率*40%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
80,016885.OF,山西证券裕泽A,山西证券,兴业银行,债券型,20221221,,,20221205,,0.6402,0.3,0.05,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
81,016576.OF,民生加银瑞丰一年定开,民生加银基金,渤海银行,债券型,20221221,,,20221212,,20.0,0.3,0.1,,1.0,,,中国债券综合指数收益率,L,债券型,契约型开放式,,,,O
82,016886.OF,山西证券裕泽C,山西证券,兴业银行,债券型,20221221,,,20221205,,0.0,0.3,0.05,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
83,017105.OF,光大保德信荣利纯债A,光大保德信基金,浙商银行,债券型,20221221,,,20221128,,24.0006,0.3,0.1,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
84,017528.OF,嘉实北证50成份C,嘉实基金,招商银行,股票型,20221221,,,20221129,,2.7061,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
85,016673.OF,华安鼎津一年定开,华安基金,渤海银行,债券型,20221221,,,20221213,,20.0,0.3,0.1,,1.0,,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
86,159681.SZ,创50ETF,鹏华基金,交通银行,股票型,20221221,,20230103,20221212,,41.0977,0.5,0.1,,1.0,0.1,,创业板50指数收益率,I,被动指数型,契约型开放式,,20230103,20230103,E
87,017527.OF,嘉实北证50成份A,嘉实基金,招商银行,股票型,20221221,,,20221129,,2.2491,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
88,016882.OF,山西证券裕景30天持有C,山西证券,中国工商银行,债券型,20221221,,,20221128,,0.9064,0.2,0.05,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
89,017106.OF,光大保德信荣利纯债C,光大保德信基金,浙商银行,债券型,20221221,,,20221128,,0.0,0.3,0.1,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
90,016719.OF,富国稳健双盈A,富国基金,中国邮政储蓄银行,债券型,20221221,,,20221116,,0.3702,0.7,0.05,,1.0,0.001,,中债综合全价指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,L,债券型,契约型开放式,,,,O
91,016720.OF,富国稳健双盈C,富国基金,中国邮政储蓄银行,债券型,20221221,,,20221116,,0.13,0.7,0.05,,1.0,0.001,,中债综合全价指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,L,债券型,契约型开放式,,,,O
92,017578.OF,南方中证政策性金融债C,南方基金,兴业银行,债券型,20221221,,,20221215,,0.0,0.15,0.05,,1.0,0.0001,,中证政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
93,017577.OF,南方中证政策性金融债A,南方基金,兴业银行,债券型,20221221,,,20221215,,36.502,0.15,0.05,,1.0,0.0001,,中证政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
94,016849.OF,建信优享进取养老目标五年持有,建信基金,中国农业银行,混合型,20221221,,,20221101,,0.4252,1.0,0.15,,1.0,0.001,,中证800指数收益率*75%+中债综合指数收益率*20%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20221226,20271221,O
95,017628.OF,华商计算机行业量化C,华商基金,浙商银行,股票型,20221220,,,,,,1.2,0.2,,1.0,,,中信计算机指数收益率*80%+中证全债指数收益率*20%,L,股票型,契约型开放式,,20221220,20221221,O
96,017189.OF,嘉实上证科创板50指数增强C,嘉实基金,招商银行,股票型,20221220,,,20221212,,0.0109,0.8,0.15,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
97,017188.OF,嘉实上证科创板50指数增强A,嘉实基金,招商银行,股票型,20221220,,,20221212,,0.1111,0.8,0.15,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
98,016088.OF,金鹰添悦60天滚动A,金鹰基金,交通银行,债券型,20221220,,,20221010,,1.0861,0.2,0.05,,1.0,0.0001,,中证短债指数收益率*85%+一年期定期存款利率(税后)*15%,L,债券型,契约型开放式,,,,O
99,016324.OF,东方中证500指数增强C,东方基金,中国工商银行,股票型,20221220,,,20221205,,2.0716,1.0,0.2,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
100,016790.OF,招商鑫利中短债A,招商基金,上海银行,债券型,20221220,,,20221128,,1.2705,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
101,016791.OF,招商鑫利中短债C,招商基金,上海银行,债券型,20221220,,,20221128,,0.9466,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
102,016089.OF,金鹰添悦60天滚动C,金鹰基金,交通银行,债券型,20221220,,,20221010,,1.0432,0.2,0.05,,1.0,0.0001,,中证短债指数收益率*85%+一年期定期存款利率(税后)*15%,L,债券型,契约型开放式,,,,O
103,016657.OF,汇丰晋信丰宁三个月定开C,汇丰晋信基金,浙商银行,债券型,20221220,,,20221212,,0.0002,0.3,0.1,,1.0,0.01,,中债新综合全价(总值)指数收益率*90%+同业存款利率*10%,L,债券型,契约型开放式,,,,O
104,016656.OF,汇丰晋信丰宁三个月定开A,汇丰晋信基金,浙商银行,债券型,20221220,,,20221212,,12.6002,0.3,0.1,,1.0,0.01,,中债新综合全价(总值)指数收益率*90%+同业存款利率*10%,L,债券型,契约型开放式,,,,O
105,017629.OF,中银机构现金管理E,中银基金,招商银行,货币市场型,20221220,,,,,,0.33,0.05,,1.0,,,活期存款利率(税后),L,货币型,契约型开放式,,20221220,20221221,O
106,017423.OF,天弘同业存单指数7天持有,天弘基金,招商银行,债券型,20221220,,,20221205,,17.9563,0.2,0.05,,1.0,0.0001,,中证同业存单AAA指数收益率*95%+银行人民币一年定期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
107,016773.OF,诺德兴新趋势C,诺德基金,兴业银行,混合型,20221220,,,20221013,,1.6269,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
108,016323.OF,东方中证500指数增强A,东方基金,中国工商银行,股票型,20221220,,,20221205,,0.3059,1.0,0.2,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
109,017621.OF,易方达富惠C,易方达基金,中国银行,债券型,20221220,,,,,,0.3,0.1,,1.0,,,中债新综合指数收益率(全价),L,债券型,契约型开放式,,20221220,20221220,O
110,017264.OF,兴证全球安悦平衡养老三年持有,兴证全球基金,中国建设银行,混合型,20221220,,,20221205,,3.6774,0.7,0.15,,1.0,0.0,,中证偏股型基金指数收益率*50%+中债综合(全价)指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,,,O
111,016431.OF,中海丰盈三个月定开,中海基金,浙商银行,债券型,20221220,,,20221108,,12.8007,0.3,0.1,,1.0,0.0001,,中证全债指数收益率,L,债券型,契约型开放式,,,,O
112,015975.OF,工银瑞信积极养老目标五年持有,工银瑞信基金,招商银行,混合型,20221220,,,20221121,,0.1043,0.9,0.2,,1.0,0.0001,,中证800指数收益率*75%+中债新综合(财富)指数收益率*25%,L,混合型,契约型开放式,,,,O
