,ts_code,bond_full_name,bond_short_name,cb_code,stk_code,stk_short_name,maturity,par,issue_price,issue_size,remain_size,value_date,maturity_date,rate_type,coupon_rate,add_rate,pay_per_year,list_date,delist_date,exchange,conv_start_date,conv_end_date,first_conv_price,conv_price,rate_clause
26,110317.SH,营口港务股份有限公司可转换公司债券,营港转债,190317,600317.SH,营口港,5.0,100.0,,700000000.0,0.0,2004-05-20,2009-05-20,,,3.9,1,2004-06-03,2007-04-06,SH,2004-11-20,2009-05-19,10.35,6.99,
27,110418.SH,安徽江淮汽车股份有限公司可转换公司债券,江淮转债,190418,600418.SH,江淮汽车,5.0,100.0,,880000000.0,0.0,2004-04-15,2009-04-15,,,,1,2004-04-29,2006-07-18,SH,2004-10-15,2009-04-14,17.13,3.32,
28,100567.SH,安徽山鹰纸业股份有限公司可转换公司债券,山鹰转债,181567,600567.SH,山鹰国际,5.0,100.0,,250000000.0,0.0,2003-06-16,2008-06-16,,,3.01,1,2003-07-01,2007-02-13,SH,2003-12-16,2008-06-15,8.41,2.46,
29,100726.SH,华电能源股份有限公司可转换公司债券,华电转债,181726,600726.SH,*ST华源,5.0,100.0,,800000000.0,0.0,2003-06-03,2008-06-03,,,,1,2003-06-18,2007-06-05,SH,2003-12-03,2008-06-02,7.43,3.1,
30,100795.SH,国电电力发展股份有限公司可转换公司债券,国电转债,181795,600795.SH,国电电力,5.0,100.0,,2000000000.0,0.0,2003-07-18,2008-07-18,,,,1,2003-08-01,2007-04-30,SH,2004-01-29,2008-07-17,10.55,6.59,
31,126002.SZ,万科企业股份有限公司可转换公司债券,万科转2,,000002.SZ,万科A,5.0,100.0,,1990000000.0,0.0,2004-09-24,2009-09-24,,,4.5,1,2004-10-18,2006-04-14,SZ,2005-03-24,2009-09-23,5.48,3.55,
32,125488.SZ,山东晨鸣纸业集团股份有限公司可转换公司债券,晨鸣转债,,000488.SZ,晨鸣纸业,5.0,100.0,,2000000000.0,0.0,2004-09-15,2009-09-15,,,,1,2004-09-30,2007-05-21,SZ,2005-03-15,2009-09-14,9.99,5.5,
33,125822.SZ,山东海化股份有限公司可转换公司债券,海化转债,,000822.SZ,山东海化,5.0,100.0,,1000000000.0,0.0,2004-09-07,2009-09-07,,,3.0,1,2004-09-23,2008-02-26,SZ,2005-03-07,2009-09-06,7.15,4.5,
34,125932.SZ,湖南华菱管线股份有限公司可转换公司债券,华菱转债,,000932.SZ,华菱钢铁,5.0,100.0,,2000000000.0,0.0,2004-07-16,2009-07-16,,,4.0,1,2004-08-03,2007-06-08,SZ,2005-01-16,2009-07-15,5.01,4.3,
35,125937.SZ,河北金牛能源股份有限公司可转换公司债券,金牛转债,,000937.SZ,冀中能源,5.0,100.0,,700000000.0,0.0,2004-08-11,2009-08-11,,,,1,2004-08-26,2008-03-18,SZ,2005-02-16,2009-08-10,10.81,4.4,
36,110010.SH,内蒙古包钢钢联股份有限公司可转换公司债券,包钢转债,190010,600010.SH,包钢股份,5.0,100.0,,1800000000.0,0.0,2004-11-10,2009-11-10,,,3.8,1,2004-11-25,2009-11-16,SH,2005-05-10,2009-11-09,4.62,1.69,
37,110036.SH,招商银行股份有限公司可转换公司债券,招行转债,190036,600036.SH,招商银行,5.0,100.0,,6500000000.0,0.0,2004-11-10,2009-11-10,,,6.0,1,2004-11-29,2009-11-17,SH,2005-05-10,2009-11-09,9.34,4.42,
38,110219.SH,山东南山实业股份有限公司可转换公司债券,南山转债,190219,600219.SH,南山铝业,5.0,100.0,,883000000.0,0.0,2004-10-19,2009-10-19,,,3.0,1,2004-11-03,2006-08-24,SH,2005-04-19,2009-10-18,7.37,4.12,
39,110874.SH,天津创业环保股份有限公司可转换公司债券,创业转债,190874,600874.SH,创业环保,5.0,100.0,,1200000000.0,0.0,2004-07-01,2009-07-01,,,7.96,1,2004-07-19,2007-09-07,SH,2005-07-01,2009-06-30,7.7,3.82,
40,110325.SH,珠海华发实业股份有限公司可转换公司债券,华发转债,190325,600325.SH,华发股份,5.0,100.0,,430000000.0,0.0,2006-07-27,2011-07-27,,,,1,2006-08-11,2007-04-13,SH,2007-01-29,2011-07-26,7.68,7.68,
41,110423.SH,柳州化工股份有限公司可转换公司债券,柳化转债,190423,600423.SH,柳化股份,5.0,100.0,,307000000.0,0.0,2006-07-28,2011-07-28,,,5.0,1,2006-08-10,2007-04-13,SH,2007-01-29,2011-07-27,9.86,9.86,
42,110398.SH,凯诺科技股份有限公司可转换公司债券,凯诺转债,190398,600398.SH,海澜之家,5.0,100.0,,430000000.0,0.0,2006-08-15,2011-08-15,,,3.4,1,2006-08-30,2007-10-26,SH,2007-02-15,2011-08-14,4.96,4.96,
43,125024.SZ,招商局地产控股股份有限公司可转换公司债券,招商转债,,000024.SZ,招商地产,5.0,100.0,,1510000000.0,0.0,2006-08-30,2011-08-30,,,4.4,1,2006-09-11,2007-05-31,SZ,2007-03-01,2011-08-29,13.09,13.09,
44,110488.SH,天津天药药业股份有限公司可转换公司债券,天药转债,190488,600488.SH,津药药业,6.0,100.0,,390000000.0,0.0,2006-10-25,2012-10-25,,,,1,2006-11-10,2007-07-04,SH,2007-04-25,2012-10-24,4.35,4.33,
45,110232.SH,浙江金鹰股份有限公司可转换公司债券,金鹰转债,190232,600232.SH,金鹰股份,4.0,100.0,,320000000.0,0.0,2006-11-20,2010-11-20,,,0.0,1,2006-12-06,2009-05-19,SH,2007-05-20,2010-11-19,6.28,3.57,
46,110021.SH,上海电力股份有限公司可转换公司债券,上电转债,190021,600021.SH,上海电力,5.0,100.0,,1000000000.0,0.0,2006-12-01,2011-12-01,,,9.16,1,2006-12-19,2007-08-27,SH,2007-06-01,2011-11-30,4.63,4.43,
47,128031.SZ,广东巨轮模具股份有限公司可转换公司债券,巨轮转债,,002031.SZ,巨轮智能,5.0,100.0,,200000000.0,0.0,2007-01-08,2012-01-08,,,6.5,1,2007-01-19,2009-09-07,SZ,2007-07-09,2012-01-07,9.82,7.37,
48,125717.SZ,广东韶钢松山股份有限公司可转换公司债券,韶钢转债,,000717.SZ,中南股份,5.0,100.0,,1538000000.0,0.0,2007-02-06,2012-02-06,,,,1,2007-03-02,2007-10-16,SZ,2007-08-06,2012-02-05,4.73,4.68,
49,110078.SH,江苏澄星磷化工股份有限公司可转换公司债券,澄星转债,190078,600078.SH,ST澄星,5.0,100.0,,440000000.0,0.0,2007-05-10,2012-05-10,,,5.0,1,2007-05-25,2012-05-17,SH,2007-11-10,2012-05-09,10.58,10.53,
50,125960.SZ,云南锡业股份有限公司可转换公司债券,锡业转债,,000960.SZ,锡业股份,5.0,100.0,,650000000.0,0.0,2007-05-14,2012-05-14,,,3.5,1,2007-05-29,2010-12-14,SZ,2007-11-14,2012-05-13,29.3,21.35,
51,110026.SH,中海发展股份有限公司可转换公司债券,中海转债,190026,600026.SH,中远海能,5.0,100.0,,2000000000.0,0.0,2007-07-02,2012-07-02,,,2.3,1,2007-07-12,2008-04-09,SH,2008-01-02,2012-07-01,25.31,25.31,
52,110567.SH,安徽山鹰纸业股份有限公司可转换公司债券,山鹰转债,190567,600567.SH,山鹰国际,5.0,100.0,,470000000.0,0.0,2007-09-05,2012-09-05,,,4.0,1,2007-09-17,2010-02-05,SH,2008-03-05,2012-09-04,7.31,4.24,
53,110971.SH,安徽恒源煤电股份有限公司可转换公司债券,恒源转债,190971,600971.SH,恒源煤电,5.0,100.0,,400000000.0,0.0,2007-09-24,2012-09-24,,,7.3,1,2007-10-12,2009-12-25,SH,2008-03-24,2012-09-23,50.88,12.88,
54,110227.SH,贵州赤天化股份有限公司可转换公司债券,赤化转债,190227,600227.SH,圣济堂,5.0,100.0,,450000000.0,0.0,2007-10-10,2012-10-10,,,5.0,1,2007-10-23,2009-06-02,SH,2008-04-10,2012-10-09,24.93,6.84,
55,125709.SZ,唐山钢铁股份有限公司可转换公司债券,唐钢转债,,000709.SZ,河钢股份,5.0,100.0,,3000000000.0,0.0,2007-12-14,2012-12-14,,,10.0,1,2007-12-28,2012-12-14,SZ,2008-06-14,2012-12-13,20.8,7.57,
56,110598.SH,黑龙江北大荒农业股份有限公司可转换公司债券,大荒转债,190598,600598.SH,北大荒,5.0,100.0,,1500000000.0,0.0,2007-12-19,2012-12-19,,,2.3,1,2007-12-28,2010-03-12,SH,2008-06-19,2012-12-18,14.32,9.81,
57,125572.SZ,海马投资集团股份有限公司可转换公司债券,海马转债,,000572.SZ,海马汽车,5.0,100.0,,820000000.0,0.0,2008-01-16,2013-01-16,,,3.3,1,2008-01-30,2009-06-09,SZ,2008-07-16,2013-01-15,18.33,3.6,
58,110368.SH,广西五洲交通股份有限公司可转换公司债券,五洲转债,190368,600368.SH,五洲交通,5.0,100.0,,540000000.0,0.0,2008-02-29,2013-02-28,,,2.9,1,2008-03-14,2009-07-08,SH,2008-09-01,2013-02-27,10.14,4.73,
59,125528.SZ,广西柳工机械股份有限公司可转换公司债券,柳工转债,,000528.SZ,柳工,6.0,100.0,,800000000.0,0.0,2008-04-18,2014-04-18,,,7.2,1,2008-05-06,2009-06-30,SZ,2008-10-18,2014-04-17,26.87,9.57,
60,110002.SH,山东南山铝业股份有限公司可转换公司债券,南山转债,190002,600219.SH,南山铝业,5.0,100.0,,2800000000.0,0.0,2008-04-18,2013-04-18,,,2.3,1,2008-05-13,2009-09-24,SH,2008-10-20,2013-04-17,16.89,8.42,
61,110003.SH,新余钢铁股份有限公司可转换公司债券,新钢转债,190003,600782.SH,新钢股份,5.0,100.0,,2760000000.0,0.0,2008-08-21,2013-08-21,,,4.2,1,2008-09-05,2013-08-27,SH,2009-02-23,2013-08-20,8.22,5.41,
62,110004.SH,厦门厦工机械股份有限公司可转换公司债券,厦工转债,190004,600815.SH,厦工股份,5.0,100.0,,600000000.0,0.0,2009-08-28,2014-08-28,,,5.6,1,2009-09-11,2010-09-30,SH,2010-03-01,2014-08-27,7.5,7.45,
63,110005.SH,四川大西洋焊接材料股份有限公司可转换公司债券,西洋转债,190558,600558.SH,大西洋,5.0,100.0,,265000000.0,0.0,2009-09-03,2014-09-03,,,3.2,1,2009-09-21,2010-05-19,SH,2010-03-09,2014-09-02,14.55,14.55,
64,110006.SH,浙江龙盛集团股份有限公司可转换公司债券,龙盛转债,190006,600352.SH,浙江龙盛,5.0,100.0,,1250000000.0,0.0,2009-09-14,2014-09-14,,,3.2,1,2009-09-25,2010-05-12,SH,2010-03-15,2014-09-13,8.9,8.9,
65,125969.SZ,安泰科技股份有限公司可转换公司债券,安泰转债,,000969.SZ,安泰科技,6.0,100.0,,750000000.0,0.0,2009-09-16,2015-09-16,,,4.0,1,2009-10-12,2010-06-23,SZ,2010-03-16,2015-09-15,22.3,12.33,
66,110007.SH,山东博汇纸业股份有限公司可转换公司债券,博汇转债,190007,600966.SH,博汇纸业,5.0,100.0,,975000000.0,0.0,2009-09-23,2014-09-23,,,5.0,1,2009-10-16,2014-09-29,SH,2010-03-23,2014-09-22,10.34,5.74,
67,110008.SH,北京王府井百货(集团)股份有限公司可转换公司债券,王府转债,190008,600859.SH,王府井,6.0,100.0,,821000000.0,0.0,2009-10-19,2015-10-19,,,7.5,1,2009-10-30,2010-11-05,SH,2010-04-26,2015-10-18,33.56,33.26,
68,110009.SH,江苏双良空调设备股份有限公司可转换公司债券,双良转债,190009,600481.SH,双良节能,5.0,100.0,,720000000.0,0.0,2010-05-04,2015-05-04,,,0.0,1,2010-05-14,2015-05-07,SH,2010-11-04,2015-05-03,21.11,12.58,
69,113001.SH,中国银行股份有限公司可转换公司债券,中行转债,191001,601988.SH,中国银行,6.0,100.0,,40000000000.0,0.0,2010-06-02,2016-06-02,,,4.0,1,2010-06-18,2015-03-13,SH,2010-12-02,2016-06-01,3.88,2.62,
70,125731.SZ,四川美丰化工股份有限公司可转换公司债券,美丰转债,,000731.SZ,四川美丰,5.0,100.0,,650000000.0,0.0,2010-06-02,2015-06-02,,,3.2,1,2010-06-25,2013-04-24,SZ,2010-12-02,2015-06-01,7.36,7.06,
71,126630.SZ,铜陵有色金属集团股份有限公司可转换公司债券,铜陵转债,,000630.SZ,铜陵有色,6.0,100.0,,2000000000.0,0.0,2010-07-15,2016-07-15,,,2.9,1,2010-08-06,2011-04-01,SZ,2011-01-17,2016-07-14,15.68,15.68,
72,128233.SZ,广东塔牌集团股份有限公司可转换公司债券,塔牌转债,,002233.SZ,塔牌集团,5.0,100.0,,630000000.0,0.0,2010-08-26,2015-08-26,,,8.0,1,2010-09-16,2011-06-09,SZ,2011-03-01,2015-08-24,13.31,6.62,
73,113002.SH,中国工商银行股份有限公司可转换公司债券,工行转债,191002,601398.SH,工商银行,6.0,100.0,,25000000000.0,0.0,2010-08-31,2016-08-31,,,3.2,1,2010-09-10,2015-02-26,SH,2011-03-01,2016-08-30,4.2,3.27,
74,126729.SZ,北京燕京啤酒股份有限公司可转换公司债券,燕京转债,,000729.SZ,燕京啤酒,5.0,100.0,,1130000000.0,0.0,2010-10-15,2015-10-15,,,,1,2010-11-03,2015-06-15,SZ,2011-04-15,2015-10-14,21.86,7.22,
75,110011.SH,北京歌华有线电视网络股份有限公司可转换公司债券,歌华转债,190011,600037.SH,歌华有线,6.0,100.0,,1600000000.0,0.0,2010-11-25,2016-11-25,,,3.1,1,2010-12-10,2015-05-06,SH,2011-05-26,2016-11-24,15.09,14.69,
76,110012.SH,宁波海运股份有限公司可转换公司债券,海运转债,190012,600798.SH,宁波海运,5.0,100.0,,720000000.0,0.0,2011-01-07,2016-01-07,,,1.4,1,2011-01-20,2015-05-15,SH,2011-07-08,2016-01-06,4.58,4.5,
77,110013.SH,国投华靖电力控股股份有限公司可转换公司债券,国投转债,190013,600886.SH,国投电力,6.0,100.0,,3400000000.0,0.0,2011-01-25,2017-01-25,,,8.0,1,2011-02-15,2013-07-12,SH,2011-07-26,2017-01-24,7.29,2.91,
78,125887.SZ,安徽中鼎密封件股份有限公司可转换公司债券,中鼎转债,,000887.SZ,中鼎股份,5.0,100.0,,300000000.0,0.0,2011-02-11,2016-02-11,,,4.0,1,2011-03-01,2014-08-11,SZ,2011-08-11,2016-02-10,25.31,6.9,
79,110015.SH,中国石油化工股份有限公司可转换公司债券,石化转债,190015,600028.SH,中国石化,6.0,100.0,,23000000000.0,0.0,2011-02-23,2017-02-23,,,5.0,1,2011-03-07,2015-02-17,SH,2011-08-24,2017-02-22,9.73,4.89,
80,110016.SH,四川川投能源股份有限公司可转换公司债券,川投转债,190016,600674.SH,川投能源,6.0,100.0,,2100000000.0,0.0,2011-03-21,2017-03-21,,,8.0,1,2011-03-31,2014-09-10,SH,2011-09-22,2017-03-20,17.3,9.02,
81,125089.SZ,深圳市机场股份有限公司可转换公司债券,深机转债,,000089.SZ,深圳机场,6.0,100.0,,2000000000.0,0.0,2011-07-15,2017-07-15,,,5.1,1,2011-08-10,2015-06-08,SZ,2012-01-16,2017-07-14,5.66,5.54,
82,129031.SZ,广东巨轮模具股份有限公司可转换公司债券,巨轮转2,,002031.SZ,巨轮智能,5.0,100.0,,350000000.0,0.0,2011-07-19,2016-07-19,,,3.0,1,2011-08-04,2013-06-20,SZ,2012-01-30,2016-07-18,8.09,5.47,
83,110017.SH,中海发展股份有限公司可转换公司债券,中海转债,190017,600026.SH,中远海能,6.0,100.0,,3950000000.0,0.0,2011-08-01,2017-08-01,,,3.0,1,2011-08-12,2015-02-13,SH,2012-02-02,2017-07-31,8.7,6.24,
84,110018.SH,国电电力发展股份有限公司可转换公司债券,国电转债,190018,600795.SH,国电电力,6.0,100.0,,5500000000.0,0.0,2011-08-19,2017-08-19,,,8.0,1,2011-09-02,2015-03-05,SH,2012-02-20,2017-08-18,2.67,2.27,
85,110019.SH,牡丹江恒丰纸业股份有限公司可转换公司债券,恒丰转债,190019,600356.SH,恒丰纸业,5.0,100.0,,450000000.0,0.0,2012-03-23,2017-03-23,,,3.5,1,2012-04-12,2015-05-05,SH,2012-09-24,2017-03-22,6.88,6.67,
86,113003.SH,中国船舶重工股份有限公司可转换公司债券,重工转债,191003,601989.SH,中国重工,6.0,100.0,,8050150000.0,0.0,2012-06-04,2018-06-04,,,4.0,1,2012-06-18,2014-12-04,SH,2012-12-05,2018-06-03,6.05,4.74,
87,110020.SH,山东南山铝业股份有限公司可转换公司债券,南山转债,190020,600219.SH,南山铝业,6.0,100.0,,6000000000.0,0.0,2012-10-16,2018-10-16,,,4.0,1,2012-10-31,2015-03-13,SH,2013-04-17,2018-10-15,6.92,6.65,
88,110022.SH,北京同仁堂股份有限公司可转换公司债券,同仁转债,190022,600085.SH,同仁堂,5.0,100.0,,1205000000.0,0.0,2012-12-04,2017-12-04,,,4.0,1,2012-12-18,2015-03-10,SH,2013-06-05,2017-12-03,17.72,17.27,
89,127001.SZ,中信海洋直升机股份有限公司可转换公司债券,海直转债,,000099.SZ,中信海直,6.0,100.0,,650000000.0,0.0,2012-12-19,2018-12-19,,,4.0,1,2013-01-07,2014-10-08,SZ,2013-06-19,2018-12-18,7.1,6.98,
90,128001.SZ,安徽泰尔重工股份有限公司可转换公司债券,泰尔转债,,002347.SZ,泰尔股份,5.0,100.0,,320000000.0,0.0,2013-01-09,2018-01-09,,,0.0,1,2013-01-28,2014-11-21,SZ,2013-07-15,2018-01-08,15.34,8.49,
91,110023.SH,中国民生银行股份有限公司可转换公司债券,民生转债,190023,600016.SH,民生银行,6.0,100.0,,20000000000.0,0.0,2013-03-15,2019-03-15,,,4.5,1,2013-03-29,2015-07-01,SH,2013-09-16,2019-03-14,10.23,8.105,
92,128002.SZ,东华软件股份公司可转换公司债券,东华转债,,002065.SZ,东华软件,6.0,100.0,,1000000000.0,0.0,2013-07-26,2019-07-26,,,3.0,1,2013-08-19,2015-06-02,SZ,2014-02-03,2019-07-25,23.7,11.78,
93,128003.SZ,天水华天科技股份有限公司可转换公司债券,华天转债,,002185.SZ,华天科技,6.0,100.0,,461000000.0,0.0,2013-08-12,2019-08-12,,,6.5,1,2013-08-28,2014-12-08,SZ,2014-02-17,2019-08-11,9.79,9.74,
94,110024.SH,上海隧道工程股份有限公司可转换公司债券,隧道转债,190024,600820.SH,隧道股份,6.0,100.0,,2600000000.0,0.0,2013-09-13,2019-09-13,,,6.0,1,2013-09-30,2014-12-18,SH,2014-03-14,2019-09-12,9.71,4.71,
95,127002.SZ,徐工集团工程机械股份有限公司可转换公司债券,徐工转债,,000425.SZ,徐工机械,6.0,100.0,,2500000000.0,0.0,2013-10-25,2019-10-25,,,5.5,1,2013-11-15,2015-02-16,SZ,2014-04-25,2019-10-24,8.46,8.36,
96,113005.SH,中国平安保险(集团)股份有限公司可转换公司债券,平安转债,191005,601318.SH,中国平安,6.0,100.0,,26000000000.0,0.0,2013-11-22,2019-11-22,,,5.4,1,2013-12-09,2015-01-15,SH,2014-05-23,2019-11-21,41.33,41.22,
97,113006.SH,深圳市燃气集团股份有限公司可转换公司债券,深燃转债,191006,601139.SH,深圳燃气,6.0,100.0,,1600000000.0,0.0,2013-12-13,2019-12-13,,,3.0,1,2013-12-27,2015-05-08,SH,2014-06-16,2019-12-12,8.46,8.32,
98,128004.SZ,浙江久立特材科技股份有限公司可转换公司债券,久立转债,,002318.SZ,久立特材,6.0,100.0,,487000000.0,0.0,2014-02-25,2020-02-25,,,5.9,1,2014-03-14,2015-01-05,SZ,2014-09-04,2020-02-24,19.96,19.76,
99,128005.SZ,淄博齐翔腾达化工股份有限公司可转换公司债券,齐翔转债,,002408.SZ,齐翔腾达,5.0,100.0,,1240000000.0,0.0,2014-04-18,2019-04-18,,,10.5,1,2014-05-13,2015-06-15,SZ,2014-10-27,2019-04-17,14.34,14.34,
100,110025.SH,国金证券股份有限公司可转换公司债券,国金转债,190025,600109.SH,国金证券,6.0,100.0,,2500000000.0,0.0,2014-05-14,2020-05-14,,,3.5,1,2014-06-03,2015-01-09,SH,2014-11-21,2020-05-13,19.97,9.99,
101,128006.SZ,江苏长青农化股份有限公司可转换公司债券,长青转债,,002391.SZ,长青股份,6.0,100.0,,631760000.0,0.0,2014-06-20,2020-06-20,,,0.0,1,2014-07-09,2015-04-24,SZ,2014-12-29,2020-06-19,13.48,13.48,
102,110027.SH,东方电气股份有限公司可转换公司债券,东方转债,190027,600875.SH,东方电气,6.0,100.0,,4000000000.0,0.0,2014-07-10,2020-07-10,,,3.0,1,2014-07-25,2015-02-27,SH,2015-01-12,2020-07-09,12.0,12.0,
103,110028.SH,冠城大通股份有限公司可转换公司债券,冠城转债,190028,600067.SH,冠城大通,6.0,100.0,,1800000000.0,0.0,2014-07-18,2020-07-18,,,8.0,1,2014-08-01,2015-04-29,SH,2015-01-19,2020-07-17,6.2,6.2,
